medicine,ceil_price
levof loxacin,9.15
levon orgestrel,76.66
levon orgestrel,29.15
levo thyroxine,1.51
levo thyroxine,1.48
levot hyroxine,1.5
levo thyroxine,1.05
levo thyroxine,1.64
levo thyroxine,1.47
levo thyroxine,1.68
levo thyroxine,1.34
levo thyroxine,1.69
levo thyroxine,1.72
levo thyroxine,1.73
ligno caine,1.1
ligno caine,1.16
ligno caine,9.02
ligno caine,3.56
"ligno caine (a)
+adrenaline(b)",1.07
mero penem,969.32
mesn a,15.78
metf ormin,3.55
metf ormin,2.06
metf ormin,4.12
meth otrexate,13.52
meth otrexate,5.4
meth otrexate,9.59
meth otrexate,50.73
meth ylergometrine,9.1
meth ylergometrine,15.21
meth ylprednisolone,46.46
"meth ylrosanilinium
chloride (gentian violet)",0.1
"meth ylthioninium chloride
(methylene blue)",27.6
meto clopramide,1.37
meto clopramide,2.72
meto clopramide,1.66
meto clopramide,0.51
meto prolol,4.32
meto prolol,5.94
meto prolol,15.25
meto prolol,11.32
meto prolol,4.21
meto prolol,5.92
meto prolol,3.46
metr onidazole,0.83
metr onidazole,1.55
"nicot ine (for nicotine
replacement therapy)",8.06
"nicot ine (for nicotine
replacement therapy)",8.74
"nicot ine (for nicotine
replacement therapy)",10.83
"nicot ine (for nicotine
replacement therapy)",9.92
"nicot ine (for nicotine
replacement therapy)",7.24
"nicot ine (for nicotine
replacement therapy)",7.97
nifed ipine,1.57
nifed ipine,0.97
nitro furantoin,8.25
nitro furantoin,8.79
nitro furantoin,0.91
nitro us oxide,290.96
nora drenaline,20.52
nore thisterone,5.48
ome prazole,2.92
ome prazole,4.42
ome prazole,2.45
ome prazole,1.54
ome prazole,8.6
ome prazole,5.77
omep razole,5.62
onda nsetron,5.23
onda nsetron,1.28
onda nsetron,6.06
onda nsetron,9.22
oral p oliomyelitis vaccine,129.89
oral rehydration salts,0.15
oral rehydration salts,1.01
parac etamol,13.89
parac etamol,16.75
parac etamol,22.45
penic illamine,18.82
perm ethrin,1.88
perm ethrin,1.02
perm ethrin,1.53
perm ethrin,1.33
phen iramine,2.81
phen iramine,2.1
phen obarbitone,1.33
phen obarbitone,1.92
phen obarbitone,22.53
phen obarbitone,0.5
phen ylephrine,10.24
phen ylephrine,4.72
phen ytoin,5.58
phen ytoin,6.05
phen ytoin,6.68
phen ytoin,1.79
phen ytoin,0.85
phen ytoin,0.36
phen ytoin,1.12
phen ytoin,4.73
phen ytoin,1.86
pheny toin,4.82
predn isolone,4.54
"premix insulin 30:70
injection(regular:nph)",17.29
prima quine,2.42
prima quine,5.23
prima quine,1.78
prop aracaine,10.43
prop ofol,6.61
prop ranolol,3.28
prop ranolol,1.33
prop ranolol,3.26
prop ranolol,4.32
prop ranolol,2.39
prop ranolol,2.03
prota mine sulphate,9.95
pyraz inamide,10.71
pyraz inamide,4.98
pyraz inamide,7.34
pyraz inamide,12.02
pyraz inamide,0.77
pyrid oxine,6.08
pyrid oxine,0.11
quin ine,5.75
quin ine,9.67
rabie s vaccine,385.3
ralte gravir,150.37
rami pril,5.3
rami pril,8.32
rami pril,4.74
rami pril,7.32
ribav irin,26.95
rifam picin,11.56
salbu tamol,0.33
salbu tamol,0.27
salbu tamol,0.18
salbu tamol,0.5
salbu tamol,1.04
salbu tamol,0.75
salicy lic acid,2.06
salicy lic acid,2.1
sevo flurane,31.71
silver sulphadiazine,0.64
"snak e venom
antiserum",676.84
"snak e venom
antiserum",436.13
sodiu m bicarbonate,1.37
sodiu m bicarbonate,1.03
sodiu m chloride,75.17
sodiu m chloride,59.28
sodiu m chloride,22.22
sodiu m chloride,20.02
sodiu m chloride,29.98
sodiu m chloride,26.91
sodiu m chloride,41.68
tacro limus,21.02
tacro limus,41.33
tacro limus,85.81
tacro limus,40.68
tacro limus,79.04
tacro limus,21.33
tamo xifen,3.0
tamo xifen,2.25
td va ccine,23.74
td va ccine,223.07
td va ccine,20.35
telm isartan,3.95
telm isartan,6.88
telm isartan,10.58
temo zolomide,449.01
temo zolomide,4378.91
temo zolomide,1534.96
temo zolomide,342.51
temo zolomide,1959.1
temo zolomide,3823.55
tene cteplase,51266.61
tene cteplase,37552.36
tene ligliptin,11.28
trane xamic acid,13.95
trane xamic acid,18.86
trast uzumab,55677.58
trihe xyphenidyl,1.39
tropi camide,9.59
valga nciclovir,415.38
vanc omycin,323.17
vanc omycin,478.45
vanc omycin,255.62
vanc omycin,155.04
vecu ronium,119.41
vecu ronium,75.69
verap amil,1.62
verap amil,0.87
verap amil,1.49
vinbla stine,25.98
vincr istine,58.52
vitam in a,0.74
vitam in a,2.3
vitam in a,0.69
warf arin,2.44
warf arin,3.24
warf arin,2.77
warf arin,2.5
wate r for injection,2.46
wate r for injection,2.84
ringer lactate,30.42
ringer lactate,51.88
ringer lactate,66.09
ringer lactate,116.2
glucose,96.77
glucose,83.7
"glucose (a) +
sodium chloride
(b)",101.68
"glucose (a) +
sodium chloride
(b)",87.01
sodium chloride,42.79
sodium chloride,63.18
sodium chloride,89.47
sodium chloride,100.22
formulation,2.0
"each 100ml contains: potassium chloride
ip 150mg + dextrose monohydrate ip
5000mg + sodium chloride ip 900mg",92.82
"each 100ml contains: potassium chloride
ip 150mg + dextrose monohydrate ip
5000mg + sodium chloride ip 450mg",75.67
"each 100 ml contains: sodium chloride ip
526 mg + sodium gluconate usp 502 mg +
sodium acetate trihydrate ip 368 mg +
potassium chloride ip 37 mg + magnesium
chloride hexahydrate ip 30 mg + dextrose
monohydrate ip 5000 mg (multiple
electrolytes and 5% dextrose injection
type i usp)",151.89
"primary knee
replacement system",1.0
"cefixime trihydrate+
ornidazole tablets
(cefolac oz tablet)",0.2005
"voglibose +
metformin hcl
(sr) tablets",0.25
"voglibose +
metformin hcl
(sr) tablets",0.35
"paracetamol drops
(macfast drops)",100.0
"olmesartan medoxomil +
amlodipine besylate
tablet
(olmeblu - am tablet)",7.55
"telmisartan +
hydrochlorhiazide tablet",7.47
"telmisartan +
metoprolol tartrate er
tablet",9.62
"telmisartan +
metoprolol tartrate er
tablet",8.1
"cefixime +
azithromycin tablet",15.88
"gliclazide + metformin
hcl tablets
(tusformin g)
manufactured and
marketed by m/s akums
drugs & pharmaceuticals
ltd. and m/s zuventus
healthcare
ltd. respectively.",4.63
"cefpodoxime proxetil+
ofloxacin tablets (cefpo
doxime+ofloxacin)
manufactured and
marketed by m/s innova
captab pvt. ltd. and m/s
micro labs
ltd. respectively.",12.91
"(glucoryl mv 1 forte)
metformin hcl +
voglibose+
glimepiride tablets
manufactured and
marketed by m/s savi
pharma and m/s. alkem
lab ltd respectively.",8.48
"(glucoryl mv 2 forte)
metformin hcl +
voglibose+",10.46
"manufactured and
marketed by m/s hetero
labs limited and m/s
ipca laboratories
ltd. respectively.",12.26
"(azibact –l 500)
azithromycin +
levofloxacin tablets
manufactured and
marketed by m/s hetero
labs limited and m/s
ipca laboratories
ltd. respectively.",21.77
"(glyree mv1)
metformin
hcl+ glimepiride+
voglibose tablets
manufactured and
marketed by m/s hetero
labs limited and m/s
ipca laboratories
ltd. respectively.",8.46
"(glimitab mv1)
metformin
hcl+ glimepiride+
voglibose tablets",8.46
"manufactured and
marketed by m/s
inventia
healthcare pvt.
ltd. and m/s alkem
laboratories
ltd. respectively.",4.43
"(flucon-as3 kit)
fluconazole +
azithromycin+
secnidazole combi kit
manufactured and
marketed by m/s innova
captab pvt. ltd. and m/s
galpha laboratories
ltd. respectively.",86.7
"cefixime oral suspension
(dry
syrup) manufactured and
marketed by m/s innova
captab pvt. ltd. and m/s
magnet labs pvt.
ltd. respectively.",2.11
"hydroxychloroquine
sulphate
tablets manufactured",10.12
"glimepiride +
voglibose +
metformin hcl sr tablets
mfd by m/sakums drugs
& pharmaceuticals pvt.
ltd. and m/ s strides
arcolab ltd. respectively.",8.46
"glimepiride +
voglibose +
metformin hcl sr tablets
mfd by m/sakums drugs
& pharmaceuticals pvt.
ltd. and m/ s strides
arcolab ltd. respectively.",10.47
"(nitrofurantoin)
nitrofurantoin capsule
manufactured and
marketed by m/s swiss
garnier life
sciences and m/s
mankind pharma
ltd. respectively.",7.63
"choline salicylate +
lignocaine hcl gel
manufactured and
marketed by m/s akums
drugs & pharmaceuticals
ltd. and m/s plenteous",3.26
"(agivogtm m 0.3)
metformin hydrochloride
(prolonged release)+
voglibose tablets",52.38
"(clavilip 10)
atorvastatin +
clopidogrel capsules
manufactured and
marketed by
m/ssynokem
pharmaceuticals
limited and m/s intas
pharmaceuticals
limited respectively.",10.29
"(jubiglimtm trio 2)
metformin hydrochloride
(prolonged release)+
pioglitazone +
glimepiride tablets
manufactured and
marketed by m/s hetero
labs limited and m/s
jubilant life sciences
limited respectively",6.94
"(jubiglimtm trio 1)
metformin hydrochloride
(prolonged release)+
pioglitazone +
glimepiride tablets
manufactured and
marketed by m/s hetero
labs limited and m/s
jubilant life sciences
limited respectively",53.56
"(agivogtm m 0.2)
metformin hydrochloride",52.38
"(deso-ecp tablet)
desogestrel +
ethinylestradiol tablet
manufactured and
marketed by m/s
synokem
pharmaceuticals
ltd. and m/s emcure
phamaceuticals
ltd. respectively.",4.72
"glimepiride+voglibose+
metformin hydrochloride
tablet
manufactured and
marketed by m/s windlas
biotek limited and m/s
micro labs
limited respectively",10.61
"(gvmet)
glimipride + voglibose +
metformin sr tablets
manufactured and
marketed by m/s akums",8.46
"cefixime+ofloxacin
tablets
manufactured and
marketed by
m/s. finecure
pharmaceuticals ltd. and
m/s yash pharma
laboratories pvt.
ltd. respectively.",9.94
"(telmijubtm am 80)
telmisartan +amlodipine
tablets
manufactured and
marketed by m/s. theon
pharmaceuticals ltd. and
m/s jubilant life sciences
limited respectively.",110.58
"(telmijubtm am 40)
telmisartan +amlodipine
tablets
manufactured and
marketed by m/s. theon
pharmaceuticals ltd. and
m/s jubilant life sciences
limited respectively.",7.02
"(tolydol tablet)
acetaminophen+tramad
ol",4.0
"trypsin chymotrypsin+
diclofenac potassium
tablet
manufactured and
marketed by m/s. acme
formulation pvt. ltd. and
m/s micro labs.
ltd. respectively.",5.8
"(ojen oz suspension)
ofloxacin + ornidazole
suspension
manufactured and
marketed by m/s. akums
drugs &pharmaceuticals
ltd. and m/s jenburkt
pharmaceuticals
ltd. respectively.",31.0
"paracetamol+
mefenamic acid
suspension
manufactured and
marketed by m/s tirupati
medicare
limited and m/s ipca
laboratories
ltd. respectively.",0.59
"(lilxapla injection)
oxaliplatin + lactos
monohydrate injection
manufactured and
marketed by m/s. onco
therapies ltd. and m/s
eli lilly and company",4178.11
"(malarce)
pyrimethamine +
sulphamethoxypyridazin
e
tablets
manufactured and
marketed by m/s tee &
tee healthcare and m/s
gujarat terce
laboratories limited
respectively.",1.93
"tramadol + diclofenac
sr tablets",4.56
"a zibact - cf tablet
cefpodoxime proxetil +
azithromycin tablets
manufactured and
marketed by m/s theon
pharmaceuticals
ltd. and m/s ipca
laboratories
ltd. respectively",17.7
"pt-325 tablet
acetaminophen+
tramadol hcl tablets
manufactured and
marketed by m/s apex
lab. ltd.",4.0
"(sc odia sr 1000 tablet)
metformin sr tablet
manufactured and
marketed by m/s akums
drugs & pharmaceuticals",3.34
"amo xycillin +
potassium clavulanate
tablet
manufactured and
marketed by m/s mapra
lab. ltd.",160.0
"(car diocil m)
metoprolol succinate+
cilnidipine tablet
manufactured and
marketed by m/s acme
formulation pvt. ltd. and
m/s alembic
pharmaceuticals ltd.
respectively.",7.66
"(tru sten az tablet)
cefixime +
azithromycin tablets",15.88
"(clo pid at10)
atorvastatin calcium+
clopidogrel bisulphate
capsules
manufactured and
marketed by m/s. orbit
lifescience pvt. ltd. and
m/s genx pharma ltd.
respectively.",87.52
"(clo pid at20)
atorvastatin calcium+
clopidogrel bisulphate
capsules
manufactured and
marketed by m/s. orbit
lifescience pvt. ltd. and
m/s genx pharma ltd.
respectively.",110.48
"(glik ey mf 60)
gliclazide+
metformin tablet
manufactured and
marketed by m/s. anphar
organics and m/s usv
ltd. respectively",6.61
"(glik ey mf 80)
gliclazide+
metformin tablet",4.63
"losa rtan potassium+
chlorthalidone tablet
manufactured and
marketed by m/s cadila
pharmaceuticals ltd.",4.55
"(uth yrox 25)
l-thyroxine sodium
tablet
manufactured and
marketed by m/s sterile-
gene life sciences pvt.
ltd. and m/s. merck
limited respectively.",1.14
"(uth yrox 75)
l-thyroxine sodium
tablet
manufactured and
marketed by m/s sterile-
gene life sciences pvt.
ltd. and m/s. merck
limited respectively.",1.25
"cyc losporine+
benzalkonium eye
drop
manufactured and
marketed by m/s ajanta
pharma ltd.",266.25
